sku,quantity
0A-ZUII-DI5I,1
0G-669K-N99I,2
0S-OR5F-SJTG,1
0W-LGWG-98E2,1
0X-2G92-H65I,3
0Z-P5QU-N01H,2
199625,35
199629,36
199638,65
199641,17
199647,16
199653,2
199654,2
199655,1
199733,100
199734,57
199735,100
199736,100
199740,24
199744,30
199745,32
199748,55
199768,100
199771,29
199774,15
199776,30
199824,15
199826,10
199832,2
199878,100
1F-MY24-OJ74,1
1J-N85S-6OJF,3
1M-D05M-TF4X,1
1O-S8ZN-WTLH,3
1Q-E0JT-GBSB,3
1S-9ZZ7-4KQ8,1
1S-EMRG-55LU,1
1T-1RMP-AO02,1
1X-KRA3-OA4H,1
200003,3
200082,57
200083,34
200084,84
200099,21
200107,6
200108,4
200185,6
200188,1
200236,6
200423,8
200432,88
200475,100
200499,8
200501,4
200507,68
200530,11
200531,22
200532,14
200540,35
200545,100
200546,100
200547,4
200548,64
200549,24
200554,20
200555,35
200556,37
200557,29
200558,25
200560,7
200561,9
200564,5
200566,7
200568,7
200578,6
200591,7
200592,12
200594,37
200688,100
200689,72
200690,4
200725,4
200761,14
200777,27
200778,9
200779,29
200789,5
200898,66
200910,13
200914,94
200916,100
200917,11
200920,52
200921,48
200923,99
200927,9
200928,69
200937,34
200950,29
200969,15
200970,7
200971,12
200985,3
200995,4
200998,16
201048,24
201053,18
201093,4
201168,11
201184,8
201185,27
201186,35
201188,18
201189,13
201190,12
201250,11
201315,100
201316,100
201372,2
201411,23
201460,13
201461,20
201463,12
201464,100
201469,24
201471,33
201475,47
201476,30
201477,38
201562,11
201564,19
201592,36
201596,6
201602,85
201604,49
201605,25
201626,56
201661,47
201952,43
201971,1
201973,1
201976,6
201977,6
201990,6
201993,3
201995,6
202010,10
202011,9
202042,3
202045,16
202046,17
202054,10
202261,9
202268,46
202304,19
202305,12
202313,6
202318,22
202320,23
202322,8
202325,40
202331,17
202332,14
202333,26
202335,39
202359,12
202360,2
202379,34
202382,53
202384,24
202385,22
202386,100
202387,56
202409,5
202433,6
202442,13
202478,39
202518,8
202556,8
202557,12
202558,12
202607,36
202612,20
202619,16
202659,70
202667,6
202669,6
202748,100
202776,41
202777,98
202796,29
202827,100
202828,100
202829,100
202830,100
202860,100
202861,100
202862,34
202866,100
202883,100
202888,29
202890,20
202894,49
202896,100
202897,100
202903,6
202906,40
203012,100
203013,2
203014,46
203016,27
203021,16
203034,8
203039,8
203067,8
203068,18
203069,20
203076,7
203131,45
203132,68
203168,12
203260,100
203341,14
203343,49
203349,74
203354,20
203355,15
203356,100
203365,78
203366,100
203369,33
203370,100
203376,59
203377,100
203378,15
203380,13
203384,30
203385,26
203387,74
203388,55
203452,16
203481,74
203508,6
203515,11
203516,50
203517,16
203521,1
203524,1
203525,4
203526,100
203527,100
203530,20
203532,100
203533,100
203535,9
203536,53
203555,49
203556,20
203562,14
203563,11
203578,12
203579,6
203580,13
203601,100
203613,29
203615,68
203620,100
203622,100
203624,100
203630,97
203633,28
203635,25
203640,32
203641,100
203642,100
203643,100
203644,72
203646,27
203647,100
203648,100
203649,100
203650,100
203651,100
203654,13
203658,100
203659,100
203660,100
203662,100
203663,100
203665,100
203667,100
203668,70
203669,65
203673,18
203681,79
203764,8
203767,8
203768,34
203789,7
203792,7
203845,13
203846,2
203851,21
203852,14
203921,38
203922,13
203923,21
203924,22
203930,90
203931,100
203932,100
203933,47
203934,17
203936,100
203939,100
203940,100
203941,100
203943,100
203944,22
203945,29
203946,100
203947,63
203949,100
203964,2
203967,100
203969,100
203975,12
203978,47
203979,19
203991,100
203992,9
203994,27
203996,15
203999,22
204001,13
204002,57
204007,10
204008,23
204009,6
204034,16
204048,55
204092,10
204107,7
204108,29
204113,100
204133,34
204194,100
204213,63
204214,100
204244,30
204274,94
204276,41
204277,42
204287,6
204289,17
204307,44
204310,11
204337,2
204338,9
204346,15
204413,100
204420,25
204433,15
204434,70
204436,48
204437,28
204438,45
204440,100
204441,100
204442,100
204444,100
204445,89
204446,100
204457,84
204461,23
204463,47
204464,8
204474,16
204476,17
204477,100
204479,100
204481,100
204518,7
204585,6
204591,11
204596,10
204606,26
204621,38
204624,19
204625,23
204626,5
204630,100
204632,100
204633,100
204636,28
204642,23
204643,29
204672,13
204673,8
204701,30
204702,37
204703,6
204717,16
204720,5
204721,21
204770,100
204968,9
204969,10
204970,9
204986,4
204987,11
204988,4
204989,15
204990,21
204991,6
205004,43
205005,7
205006,80
205007,58
205008,100
205009,100
205014,64
205015,78
205016,25
205018,25
205019,100
205020,100
205023,100
205024,21
205042,18
205047,6
205054,3
205057,11
205153,23
205154,26
205155,32
205156,39
205157,20
205163,34
205164,27
205247,36
205248,13
205339,15
205409,100
205410,100
205428,41
205430,100
205436,27
205438,41
205439,22
205440,45
205442,10
205443,43
205444,53
205445,37
205446,12
205447,47
205448,50
205449,43
205450,45
205451,56
205453,21
205454,67
205455,7
205463,9
205465,6
205475,31
205476,25
205477,19
205499,2
