sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
180337	B07YTCDZD4	24.99	22																					
180403	B07TLWQ3JV	15.99	7																					
180510	B0B9LBY8JC	17.99	2																					
180512	B0B9LCLMZN	17.99	5																					
180584	B07ZTZ6RGD	9.99	2																					
180586	B07ZTZ5YY6	9.99	2																					
180587	B07ZTZJSV6	9.99	7																					
180588	B07ZTZ3LRL	9.99	7																					
180775	B0847B986H	69.99	20																					
180872	B07TTD3WPP	14.99	1																					
181182	B07YSPRD6R	11.99	29																					
181202	B07X4QCG5C	15.99	9																					
181204	B003O4DQY6	15.99	7																					
181207	B07Q842C5Y	15.99	15																					
181208	B07Q4QN79L	15.99	15																					
181211	B07Q84466X	15.99	14																					
181212	B00CON01S2	15.99	28																					
181214	B07Q3SD258	15.99	40																					
181421	B082V2LTF4	34.99	79																					
181506	B072HJHK2W	14.99	88																					
181526	B07W7F2Q7P	16.99	13																					
181539	B07SB4GGR5	15.99	24																					
181551	B07XH8Q3XT	101.99	65																					
181560	B07TYH7BQ3	84.99	9																					
181566	B07TZTDSWW	12.99	12																					
181571	B09K3WPQN5	58.99	35																					
181576	B08VWV65J4	88.99	37																					
181705	B091MKLYN4	15.99	11																					
181735	B07QGWY84H	16.99	100																					
181775	B0845KD9Q1	12.99	1																					
181776	B0845NNZ2J	12.99	4																					
181905	B082XF2HB7	19.99	1																					
181906	B082XF69GX	19.99	1																					
181908	B082XF4DG7	19.99	7																					
181928	B082XDKTL2	19.99	2																					
181935	B082XFVT7D	19.99	9																					
181936	B082XFJKDX	19.99	9																					
181992	B083G422NF	9.99	100																					
181994	B083G446PL	12.99	100																					
182020	B0847B649K	99.99	46																					
182033	B07W8JRG3Z	16.99	6																					
182076	B07WWY13H7	16.99	3																					
182086	B08479ZVWV	39.99	19																					
182099	B083FQLSK1	14.99	100																					
182219	B078Y8WS22	21.99	24																					
182653	B082J3WZ4K	7.99	24																					
182654	B0828492LG	11.99	10																					
182674	B07VK8GFD3	17.99	10																					
182675	B081QJHZ4J	17.99	31																					
182677	B07VHDX6LK	17.99	30																					
182678	B07VKCKHX9	17.99	28																					
182682	B01MT1O3VQ	13.99	70																					
182786	B07ZZN7MFB	16.99	29																					
182813	B07ZZNTSWX	16.99	4																					
182816	B07ZZNJQB9	16.99	3																					
182864	B07XG5GHLQ	37.99	35																					
182913	B07YLBMRGC	17.99	53																					
182914	B0843C629C	17.99	59																					
182916	B0843S4GMD	17.99	64																					
183061	B0846G33LN	9.99	22																					
183114	B07SZKWQNL	59.99	100																					
183172	B0846G33LL	9.99	8																					
183173	B0846FMDMR	7.99	16																					
183217	B084SBZV2X	9.99	8																					
183229	B07YY9G6GG	19.99	14																					
183239	B07Q2J6XHD	33.99	7																					
183243	B08VJ55LFH	39.99	42																					
183249	B07R3YS8R2	54.99	100																					
183259	B07YY92GRQ	7.99	100																					
183261	B07NQ5G3G6	9.99	100																					
183344	B088KTWM7P	4.99	23																					
183374	B0866K44LN	4.99	13																					
183377	B0866K7C8M	4.99	35																					
183392	B08B1SVGHN	3.49	12																					
183393	B08B1RK1HR	3.49	25																					
183394	B08B1SJCJX	3.49	12																					
183396	B08B1SL3NW	3.49	17																					
183397	B08B1SVSW9	3.49	21																					
183398	B08B1TDZBG	3.49	2																					
183400	B087QRQ6SR	3.49	52																					
183401	B087QQXL44	3.49	8																					
183402	B087QSH72L	3.49	59																					
183403	B087QSJ7ML	3.49	19																					
183422	B07XB2487B	16.99	18																					
183423	B07XD4Y9BJ	16.99	19																					
183453	B07TTD3PM1	16.99	7																					
183462	B08FX8LTFN	19.99	5																					
183464	B08FXKXMJZ	19.99	28																					
183465	B08FX8P9J2	19.99	33																					
183466	B08FX7FDWF	19.99	22																					
183468	B08FX95PNP	19.99	18																					
183469	B08FX3SK4B	19.99	26																					
183470	B08FXBN6P7	19.99	16																					
183503	B07JWT1T28	6.99	6																					
183506	B07JH6L4DP	6.99	18																					
183522	B07VQ8LHJ4	39.99	7																					
183571	B083TW947S	239.99	32																					
183629	B0851HYLBH	29.99	17																					
183633	B084YMVRFT	29.99	4																					
183634	B084YQ8954	29.99	9																					
183647	B08XWSBM49	32.99	9																					
183650	B001AHX5RM	23.99	17																					
183900	B07P8WKBSB	16.99	14																					
183902	B07H6GXZZR	9.99	16																					
183903	B07X9X1847	8.99	8																					
183904	B07XB63TS1	21.99	33																					
183908	B07XH9C2QM	19.99	83																					
183909	B07XCZSVRP	11.99	15																					
183935	B007ZB06V0	34.99	57																					
184067	B00Q9N84HS	32.99	8																					
184117	B082FSBTNS	16.99	15																					
184188	B07XG5N29K	16.99	20																					
184198	B083MC69NC	16.99	2																					
184208	B082FRVQCQ	37.99	44																					
184213	B084R4N9SF	16.99	50																					
184218	B083MDR6J4	16.99	100																					
184223	B083MCJYSY	16.99	100																					
184231	B07YQH31DD	16.99	100																					
184283	B07YQH5VFM	16.99	4																					
