Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,POPTOYS
grv91914-harry-potter-towel-marauders-map-150-x-75-cm,Harry Potter Towel Marauder's Map 150 x 75 cm,Title,Default Title,,,,,GRV91914,,,3
fk75534-naruto-pop-animation-vinyl-figure-choji-akimichi-9-cm,Naruto Pop! Animation Vinyl Figure Choji Akimichi 9 cm,Title,Default Title,,,,,FK75534,,,3
fk75529-naruto-pop-animation-vinyl-figure-hidan-w-ch-9-cm,Naruto Pop! Animation Vinyl Figure Hidan w/CH 9 cm,Title,Default Title,,,,,FK75529,,,3
fk75531-naruto-pop-animation-vinyl-figure-kakuzu-9-cm,Naruto Pop! Animation Vinyl Figure Kakuzu 9 cm,Title,Default Title,,,,,FK75531,,,3
fk75533-naruto-pop-animation-vinyl-figure-konan-9-cm,Naruto Pop! Animation Vinyl Figure Konan 9 cm,Title,Default Title,,,,,FK75533,,,3
fk75532-naruto-pop-animation-vinyl-figure-sai-9-cm,Naruto Pop! Animation Vinyl Figure Sai 9 cm,Title,Default Title,,,,,FK75532,,,3
fk75530-naruto-pop-animation-vinyl-figure-shino-aburame-9-cm,Naruto Pop! Animation Vinyl Figure Shino Aburame 9 cm,Title,Default Title,,,,,FK75530,,,3
gdl15091-peanuts-breakfast-set-cute-cuddly,Peanuts Breakfast Set Cute & Cuddly,Title,Default Title,,,,,GDL15091,,,3
jazsqcr04208-squishmallows-plush-figure-cat-cam-with-hat-40-cm,Squishmallows Plush Figure Cat Cam with Hat 40 cm,Title,Default Title,,,,,JAZSQCR04208,,,3
jazsqcr04134-squishmallows-plush-figure-chipmunk-melzie-30-cm,Squishmallows Plush Figure Chipmunk Melzie 30 cm,Title,Default Title,,,,,JAZSQCR04134,,,3
jazsqdi00220-squishmallows-plush-figure-disney-100-apprentice-wizard-mickey-35-cm,Squishmallows Plush Figure Disney 100 Apprentice Wizard Mickey 35 cm,Title,Default Title,,,,,JAZSQDI00220,,,3
jazsqcr04221-squishmallows-plush-figure-dragon-carin-50-cm,Squishmallows Plush Figure Dragon Carin 50 cm,Title,Default Title,,,,,JAZSQCR04221,,,3
jazsqcr04131-squishmallows-plush-figure-enos-the-leopard-30-cm,Squishmallows Plush Figure Enos the Leopard 30 cm,Title,Default Title,,,,,JAZSQCR04131,,,3
jazsqcr04581-squishmallows-plush-figure-frog-wendy-with-scarf-30-cm,Squishmallows Plush Figure Frog Wendy with Scarf 30 cm,Title,Default Title,,,,,JAZSQCR04581,,,3
jazsqcr04210-squishmallows-plush-figure-fruit-punch-jans-40-cm,Squishmallows Plush Figure Fruit Punch Jans 40 cm,Title,Default Title,,,,,JAZSQCR04210,,,3
jazsqcr04222-squishmallows-plush-figure-green-axolotl-mipsy-50-cm,Squishmallows Plush Figure Green Axolotl Mipsy 50 cm,Title,Default Title,,,,,JAZSQCR04222,,,3
jazsqwb00066-squishmallows-plush-figure-harry-potter-hufflepuff-25-cm,Squishmallows Plush Figure Harry Potter Hufflepuff 25 cm,Title,Default Title,,,,,JAZSQWB00066,,,3
jazsqwb00068-squishmallows-plush-figure-harry-potter-ravenclaw-25-cm,Squishmallows Plush Figure Harry Potter Ravenclaw 25 cm,Title,Default Title,,,,,JAZSQWB00068,,,3
jazsqcr04133-squishmallows-plush-figure-hippo-harrison-30-cm,Squishmallows Plush Figure Hippo Harrison 30 cm,Title,Default Title,,,,,JAZSQCR04133,,,3
jazsqcr04135-squishmallows-plush-figure-jellyfish-anni-30-cm,Squishmallows Plush Figure Jellyfish Anni 30 cm,Title,Default Title,,,,,JAZSQCR04135,,,3
